Rank,Title,category,fuzzy_relevance,fuzzy_recency,fuzzy_format,fuzzy_score
188,"Visual Approach to SPSS for Windows, A: A Guide to SPSS 17.0",Mathematical support,0.55,0.0,0.6,0.39000000000000007
189,"Friendly Introduction to Number Theory, A",Mathematical support,0.55,0.0,0.6,0.39000000000000007
190,Calculus,Mathematical support,0.55,0.0,0.6,0.39000000000000007
191,College Algebra,Mathematical support,0.55,0.0,0.6,0.39000000000000007
192,Elementary Statistics: Pearson New International Edition PDF eBook,Mathematical support,0.55,0.0,0.6,0.39000000000000007
193,Elementary Statistics Using Excel,Mathematical support,0.55,0.0,0.6,0.39000000000000007
194,Precalculus Enhanced with Graphing Utilities: Pearson New International Edition,Mathematical support,0.55,0.0,0.6,0.39000000000000007
195,Basic Technical Mathematics with Calculus,Mathematical support,0.55,0.0,0.6,0.39000000000000007
196,"Probability & Statistics for Engineers & Scientists, Global Edition",Mathematical support,0.55,0.0,0.6,0.39000000000000007
197,Essentials of Probability & Statistics for Engineers & Scientists,Mathematical support,0.55,0.0,0.6,0.39000000000000007
198,Introduction to Analysis,Mathematical support,0.55,0.0,0.6,0.39000000000000007
199,Calculus Early Transcendentals,Mathematical support,0.55,0.0,0.6,0.39000000000000007
200,"Introductory Statistics,  Global Edition",Mathematical support,0.55,0.0,0.6,0.39000000000000007
201,Introduction to Graph Theory,Mathematical support,0.55,0.0,0.6,0.39000000000000007
202,Biostatistical Analysis,Mathematical support,0.55,0.0,0.6,0.39000000000000007
